Designator,Footprint,Quantity,Value,Digikey Part #
"C1, C17, C18",603,3,1uF,399-C0603C105K4RACTUCT-ND
C10,402,1,10nF,399-C0402C103K3REC7411CT-ND
"C11, C13, C19, C2, C20, C29, C30, C31, C32, C4, C5, C6, C7, C8",402,14,0.1uF,490-13342-1-ND
"C12, C14, C3",805,3,4.7uF,1276-1244-1-ND
"C15, C16",402,2,18pF,490-8082-1-ND
C21,603,1,470nF,1276-CL10B474KO8VPJCCT-ND
C22,402,1,1nF,399-C0402C102J1GEC7411CT-ND
C23,402,1,39pF,490-5871-1-ND
"C24, C25",402,2,3.3pF,490-7287-1-ND
C26,603,1,47nF,399-17881-1-ND
C27,402,1,47pF,311-1021-1-ND
C9,C_Elec_6.3x5.4,1,47uF,P15473CT-ND
"D1, D2, D3, D5",D_SOD-323,4,1N5819WS,5399-1N5819WSCT-ND
D4,603,1,LED,732-150060VS75003CT-ND
"FB1, FB2",603,2,GZ1608D601TF,3442-GZ1608E601TFCT-ND
FL1,Balun_Johanson_0900FM15K0039,1,0900FM15K0039E,712-0900FM15K0039001ECT-ND
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,2073-USB4105-GF-A-120CT-ND
J2,"TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",1,Screw_Terminal_01x02,609-4725-ND
J3,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Conn_01x02,455-1704-ND
J4,SMA_Molex_73251-1153_EdgeMount_Horizontal,1,LoRa Antenna,900-0732511153-ND
J6,PinHeader_2x20_P2.54mm_Vertical,1,Conn_02x20_Odd_Even,732-5310-ND
L1,L_Sunlord_MWSA0402S,1,22uH,3442-MWSA0402S-220MTCT-ND
L2,L_Sunlord_SWPA3012S,1,15uH,SWPA3012S150MT
L3,402,1,9.1nH,490-LQW15AN9N1G0ZDCT-ND
L4,603,1,47nH,490-6895-1-ND
"R1, R11, R12",402,3,10K,311-10.0KLRCT-ND
R10,402,1,100,311-100LRCT-ND
"R15, R2, R3",402,3,5.1k,311-5.10KLRCT-ND
R4,603,1,10M,RMCF0603FT10M0CT-ND
R5,402,1,1M,311-1.00MLRCT-ND
R6,402,1,5.6M,P5.6MJCT-ND
R7,402,1,6.2M,13-RC0402FR-076M2LCT-ND
R8,603,1,510K,311-510KGRCT-ND
R9,402,1,2.7M,13-RC0402FR-072M7LCT-ND
"SW1, SW2",SW_Push_SPST_NO_Alps_SKRK,2,SKRPACE010,4809-SKRPACE010CT-ND
"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8",TestPoint_Pad_D1.5mm,8,TestPoint,
TP9,TestPoint_Pad_D1.5mm,1,Charging TP,
U1,LQFP-48_7x7mm_P0.5mm,1,STM32L072CBT6,497-17503-ND
U3,WQFN-20-1EP_3x3mm_P0.4mm_EP1.7x1.7mm,1,SPV1050TTR,497-15978-1-ND
U4,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,1,SX1262IMLTRT,SX1262IMLTRTCT-ND
U5,SOT-23-3,1,XC6206P332MR-G,893-XC6206P332MR-GCT-ND
U6,SOT-363_SC-70-6,1,PE4259-63,1046-1011-1-ND
U8,WSOF-6_L2.6-W1.6-P0.50-TL-EP,1,BH1750FVI,BH1750FVICT-ND
U9,Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering,1,BME280,828-1063-1-ND
Y1,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32.768 kHz,SER4103CT-ND
Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,32MHz,50-ECS-320-8-37B-CKY-TRCT-ND
,,,,
,Solar Panel,5,0.6W,https://www.aliexpress.com/item/1005008970688364.html?spm=a2g0o.productlist.main.23.5d17AbaVAbaVAI&algo_pvid=502d1a1b-3bd7-4867-9cdd-7f4a7f4b8d74&algo_exp_id=502d1a1b-3bd7-4867-9cdd-7f4a7f4b8d74-22&pdp_ext_f=%7B%22order%22%3A%2216%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%2114.28%216.99%21%21%2169.07%2133.84%21%402101f11417762612798935165eef46%2112000047412629089%21sea%21CA%213725344934%21ABX%211%210%21n_tag%3A-29910%3Bd%3A778dde27%3Bm03_new_user%3A-29895&curPageLogUid=EljoqiOdiAux&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008970688364%7C_p_origin_prod%3A
,LiPo,4,1.15Ah,1908-LP384260JU+PCM+MOLEX51021-020035MM-ND
,LoRa SMA Molex Antenna,4,BIG ANTENNNNAAA,900-2161960001-ND
,JST PHR connector (for battery I chose),10,,455-1165-ND
,JST PHR metal contacts (for PHR connector),10,,455-1127TR-ND
